KEY;VALUE;COMMENT;REF
technical_string;brit_antarctica;;
display_string;British Antarctic Territory;;
start_date;1962 March 3;Statutory Instrument - the British Antarctic Territory Order in Council 1962/400;britishantarcticterritory.org.uk
end_date;-99999;;
polygon_spacing;2500;km^2;
other;;;
##############################
LAT,LON
-84.94223203350809,-79.61325554083035
-84.94223203350809,-79.16409789877059
-84.94223203350809,-78.71494025671082
-84.94223203350809,-78.26578261465106
-84.94223203350809,-77.81662497259131
-84.94223203350809,-77.36746733053155
-84.94223203350809,-76.91830968847178
-84.94223203350809,-76.46915204641202
-84.94223203350809,-76.01999440435226
-84.94223203350809,-75.5708367622925
-84.94223203350809,-75.12167912023271
-84.94223203350809,-74.67252147817298
-84.94223203350809,-74.22336383611321
-84.94223203350809,-73.77420619405345
-84.94223203350809,-73.3250485519937
-84.94223203350809,-72.87589090993394
-84.94223203350809,-72.42673326787418
-84.94223203350809,-71.97757562581441
-84.94223203350809,-71.52841798375465
-84.94223203350809,-71.07926034169489
-84.94223203350809,-70.63010269963513
-84.94223203350809,-70.18094505757537
-84.94223203350809,-69.73178741551561
-84.94223203350809,-69.28262977345584
-84.94223203350809,-68.83347213139609
-84.94223203350809,-68.38431448933632
-84.94223203350809,-67.93515684727656
-84.94223203350809,-67.4859992052168
-84.94223203350809,-67.03684156315704
-84.94223203350809,-66.58768392109728
-84.94223203350809,-66.13852627903752
-84.94223203350809,-65.68936863697776
-84.94223203350809,-65.240210994918
-84.94223203350809,-64.79105335285824
-84.94223203350809,-64.34189571079847
-84.94223203350809,-63.892738068738716
-84.94223203350809,-63.44358042667896
-84.94223203350809,-62.99442278461919
-84.94223203350809,-62.54526514255943
-84.94223203350809,-62.09610750049967
-84.94223203350809,-61.646949858439925
-84.94223203350809,-61.19779221638015
-84.94223203350809,-60.748634574320405
-84.94223203350809,-60.29947693226064
-84.94223203350809,-59.850319290200865
-84.94223203350809,-59.401161648141105
-84.94223203350809,-58.95200400608135
-84.94223203350809,-58.5028463640216
-84.94223203350809,-58.05368872196184
-84.94223203350809,-57.60453107990207
-84.94223203350809,-57.155373437842314
-84.94223203350809,-56.70621579578255
-84.94223203350809,-56.257058153722795
-84.94223203350809,-55.80790051166303
-84.94223203350809,-55.35874286960326
-84.94223203350809,-54.909585227543495
-84.94223203350809,-54.46042758548374
-84.94223203350809,-54.011269943423976
-84.94223203350809,-53.56211230136422
-84.94223203350809,-53.11295465930446
-84.94223203350809,-52.663797017244704
-84.94223203350809,-52.21463937518494
-84.94223203350809,-51.76548173312518
-84.94223203350809,-51.316324091065425
-84.94223203350809,-50.86716644900566
-84.94223203350809,-50.4180088069459
-84.94223203350809,-49.96885116488614
-84.94223203350809,-49.51969352282639
-84.94223203350809,-49.07053588076662
-84.94223203350809,-48.62137823870685
-84.94223203350809,-48.172220596647094
-84.94223203350809,-47.72306295458733
-84.94223203350809,-47.27390531252757
-84.94223203350809,-46.824747670467815
-84.94223203350809,-46.37559002840805
-84.94223203350809,-45.92643238634829
-84.94223203350809,-45.47727474428853
-84.94223203350809,-45.028117102228755
-84.94223203350809,-44.578959460169
-84.94223203350809,-44.12980181810924
-84.94223203350809,-43.68064417604948
-84.94223203350809,-43.231486533989724
-84.94223203350809,-42.78232889192997
-84.94223203350809,-42.33317124987021
-84.94223203350809,-41.88401360781045
-84.94223203350809,-41.43485596575068
-84.94223203350809,-40.98569832369092
-84.94223203350809,-40.53654068163115
-84.94223203350809,-40.0873830395714
-84.94223203350809,-39.63822539751164
-84.94223203350809,-39.18906775545189
-84.94223203350809,-38.73991011339212
-84.94223203350809,-38.29075247133236
-84.94223203350809,-37.841594829272594
-84.94223203350809,-37.39243718721284
-84.94223203350809,-36.94327954515308
-84.94223203350809,-36.494121903093315
-84.94223203350809,-36.04496426103356
-84.94223203350809,-35.595806618973796
-84.94223203350809,-35.14664897691403
